1girl,0,5975095,"1girls,sole_female"
highres,5,5214503,"high_res,high_resolution,hires"
solo,0,7325002,"female_solo,solo_female"
long_hair,0,4625537,"/lh,longhair"
breasts,0,5176012,"/b,boobs,breast,breats,oppai,tits"
looking_at_viewer,0,4218346,"/lav,/pec,pov_eye_contact"
commentary_request,5,3283980,/com
blush,0,3930944,"blushing,flush,flushed"
smile,0,3899285,":),:},smiling"
open_mouth,0,3297955,mouth_open
short_hair,0,2370246,"short-hair,shorthair"
simple_background,0,3060151,"/sbg,/simplebg"
shirt,0,2129197,"shirt_only,shirts"
absurdres,5,1765845,"insaneres,very_high_resolution"
blue_eyes,0,2270184,"blueeyes,light_blue_eyes"
large_breasts,0,1569949,"big_breasts,large_boobs,large_breast,large_tits,/lb"
long_sleeves,0,1560924,"long_sleeve,/lsleeves"
skirt,0,1629965,
blonde_hair,0,1741547,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
multiple_girls,0,1525119,/ngirls
black_hair,0,1713671,"/blackh,black-hair,blackhair,dark_hair"
white_background,0,1821899,"/wbg,/whitebg"
brown_hair,0,1699316,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
hair_ornament,0,1410346,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
1boy,0,1393978,"1boys,sole_male"
commentary,0,1356784,commentaries
gloves,0,1538970,glove
holding,0,1341528,"hold,holding_object"
dress,0,1363045,
red_eyes,0,1526244,"red_eye,redeyes"
hat,0,1406597,
bad_id,5,1182355,bad_skeb_id
bow,0,1168997,bows
animal_ears,0,1165551,"kemonomimi,pokemon_ears"
original,3,1161812,"/o,original_character"
thighhighs,0,1161670,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
closed_mouth,0,1156323,
hair_between_eyes,0,1156770,bangs_between_eyes
navel,0,1602025,"belly_button,bellybutton"
ribbon,0,1081511,ribbons
jewelry,0,1299857,"jewelery,jewellery"
2girls,0,1015649,"2girl,2_girls"
cleavage,0,1137241,"clevage,overboob"
bare_shoulders,0,978297,"bare_shoulder,bareshoulders"
very_long_hair,0,945088,"hair_past_waist,/vlh"
sitting,0,1253386,"sit,sitting_down"
bad_pixiv_id,5,931700,
jacket,0,981497,
twintails,0,899845,"/tt,twintaiks,twintail,twin_tails"
touhou,3,904330,"/to,toho"
standing,0,1342244,
medium_breasts,0,924476,
blue_hair,0,1012846,"/blueh,bluehair"
